Name                Version          Source                                                           Updated             Info
----                -------          ------                                                           -------             ----
7zip                22.01            main                                                             2023-06-08 18:21:27
ack                 3.7.0            main                                                             2023-06-23 21:37:38
busybox             5007-g82accfc19  main                                                             2023-06-16 09:08:48
chatgpt             1.0.0            extras                                                           2023-06-12 19:34:03
deno                1.34.3           main                                                             2023-06-20 15:09:41
fd                  8.7.0            main                                                             2023-06-17 13:59:13
fzf                 0.42.0           main                                                             2023-06-17 13:59:15
gcc                 11.2.0           main                                                             2023-06-08 21:35:40
git                 2.41.0.windows.1 main                                                             2023-06-08 18:21:53
goneovim            0.6.5            extras                                                           2023-06-08 18:22:31
gradle              8.1.1            main                                                             2023-06-08 19:21:14
komorebi            0.1.16           extras                                                           2023-06-13 11:55:40
lua                 5.4.2            main                                                             2023-06-11 12:15:03
lua-language-server 3.6.22           main                                                             2023-06-24 08:19:00
make                4.4.1            main                                                             2023-06-20 14:40:36
neovim              0.9.1            main                                                             2023-06-08 18:23:15
nodejs              20.3.1           main                                                             2023-06-23 21:40:05
openjdk             20.0.1-9         java                                                             2023-06-08 19:23:22
perl                5.32.1.1         main                                                             2023-06-23 21:37:37
ripgrep             13.0.0           main                                                             2023-06-09 22:32:45
sad                 0.4.23           main                                                             2023-06-17 14:01:06
spotify-tui         0.25.0           main                                                             2023-06-20 12:55:52
tgpt                1.6.11           https://raw.githubusercontent.com/aandrew-me/tgpt/main/tgpt.json 2023-06-21 10:05:58
vcredist2022        14.36.32532.0    extras                                                           2023-06-09 22:39:58
whkd                0.1.2            extras                                                           2023-06-13 11:55:31
